sbscrbr,Plan_Type,data_consumed,load_date
8007860379,PLN-500,70979,9/28/2018
4555986897,PLN-2K,49099,9/28/2018
3993692412,PLN-100,40529,9/28/2018
1934020804,PLN-500,41920,9/28/2018
8644107523,PLN-50,50520,9/28/2018
5611436861,PLN-500,44188,9/28/2018
4008618105,PLN-2K,48551,9/28/2018
3239123425,PLN-2K,78461,9/28/2018
5337577270,PLN-50,46125,9/28/2018
8599476260,PLN-2K,76892,9/28/2018
6031586580,PLN-100,62747,9/28/2018
4275598609,PLN-500,73952,9/28/2018
7777646852,PLN-500,67407,9/28/2018
6571148313,PLN-2K,61521,9/28/2018
5254083319,PLN-100,69219,9/28/2018
4439943686,PLN-500,56756,9/28/2018
7228168306,PLN-50,75491,9/28/2018
7796799880,PLN-500,51740,9/28/2018
5548901755,PLN-2K,69745,9/28/2018
8128124432,PLN-2K,63872,9/28/2018
7492255064,PLN-50,77673,9/28/2018
5186251036,PLN-2K,57763,9/28/2018
2642946516,PLN-100,71675,9/28/2018
2054104678,PLN-500,72096,9/28/2018
8467961532,PLN-500,42038,9/28/2018
8081203947,PLN-2K,64412,9/28/2018
4688697501,PLN-100,64336,9/28/2018
3871570151,PLN-500,46631,9/28/2018
7874437075,PLN-50,65504,9/28/2018
3812005315,PLN-500,59736,9/28/2018
7971209676,PLN-2K,70919,9/28/2018
9031149747,PLN-2K,66641,9/28/2018
1989862850,PLN-50,76849,9/28/2018
1597339298,PLN-2K,74866,9/28/2018
2347798298,PLN-100,65949,9/28/2018
8111565344,PLN-500,57125,9/28/2018
5531456195,PLN-500,58459,9/28/2018
3823237822,PLN-2K,49308,9/28/2018
5137587038,PLN-100,57522,9/28/2018
6702190755,PLN-500,51586,9/28/2018
9379416460,PLN-50,66460,9/28/2018
2628828987,PLN-500,44083,9/28/2018
2207887410,PLN-2K,72369,9/28/2018
8628830510,PLN-2K,44377,9/28/2018
8139327840,PLN-100,53083,9/28/2018
6741748355,PLN-500,48498,9/28/2018
5528229968,PLN-100,43251,9/28/2018
5245748998,PLN-50,58598,9/28/2018
9505125624,PLN-2K,57026,9/28/2018
7865544557,PLN-100,69164,9/28/2018
3052338695,PLN-500,76815,9/28/2018
5879009159,PLN-100,65949,9/28/2018
7598506704,PLN-500,57125,9/28/2018
8084937991,PLN-50,58459,9/28/2018
2749173407,PLN-500,49308,9/28/2018
2021807324,PLN-2K,49099,9/28/2018
8775599439,PLN-2K,40529,9/28/2018
4682544228,PLN-50,41920,9/28/2018
7615701682,PLN-2K,50520,9/28/2018
6515664166,PLN-50,44188,9/28/2018
